,tripId,deadline,inputs,action,reward
91,5,26,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 26, 'waypoint': 'forward', 'left': None}",forward,12.0
92,6,25,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 25, 'waypoint': 'right', 'left': None}",right,2.0
93,6,24,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 24, 'waypoint': 'forward', 'left': None}",forward,2.0
94,6,23,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 23, 'waypoint': 'forward', 'left': None}",forward,2.0
95,6,22,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 22, 'waypoint': 'right', 'left': None}",right,2.0
96,6,21,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 21, 'waypoint': 'forward', 'left': None}",,0.0
97,6,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'forward', 'left': None}",,0.0
98,6,19,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 19, 'waypoint': 'forward', 'left': 'forward'}",left,-1.0
99,6,18,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 18, 'waypoint': 'forward', 'left': None}",,0.0
100,6,17,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 17, 'waypoint': 'forward', 'left': None}",forward,12.0
101,7,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'left', 'left': None}",,0.0
102,7,19,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 19, 'waypoint': 'left', 'left': None}",,0.0
103,7,18,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 18, 'waypoint': 'left', 'left': None}",,0.0
104,7,17,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 17, 'waypoint': 'left', 'left': None}",,0.0
105,7,16,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 16, 'waypoint': 'left', 'left': None}",,0.0
106,7,15,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 15, 'waypoint': 'left', 'left': None}",left,2.0
107,7,14,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 14, 'waypoint': 'forward', 'left': None}",forward,2.0
108,7,13,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 13, 'waypoint': 'forward', 'left': None}",forward,2.0
109,7,12,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 12, 'waypoint': 'right', 'left': None}",right,12.0
110,8,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'right', 'left': None}",right,2.0
111,8,19,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 19, 'waypoint': 'left', 'left': None}",,0.0
112,8,18,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 18, 'waypoint': 'left', 'left': None}",,0.0
113,8,17,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 17, 'waypoint': 'left', 'left': None}",,0.0
114,8,16,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 16, 'waypoint': 'left', 'left': None}",left,2.0
115,8,15,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 15, 'waypoint': 'forward', 'left': None}",forward,2.0
116,8,14,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 14, 'waypoint': 'forward', 'left': None}",,0.0
117,8,13,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 13, 'waypoint': 'forward', 'left': None}",,0.0
118,8,12,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 12, 'waypoint': 'forward', 'left': None}",,0.0
119,8,11,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 11, 'waypoint': 'forward', 'left': None}",,0.0
120,8,10,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 10, 'waypoint': 'forward', 'left': None}",forward,12.0
121,9,50,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 50, 'waypoint': 'right', 'left': None}",right,2.0
122,9,49,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 49, 'waypoint': 'forward', 'left': None}",forward,2.0
123,9,48,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 48, 'waypoint': 'forward', 'left': None}",,0.0
124,9,47,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 47, 'waypoint': 'forward', 'left': None}",,0.0
125,9,46,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 46, 'waypoint': 'forward', 'left': None}",forward,2.0
126,9,45,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 45, 'waypoint': 'forward', 'left': None}",,0.0
127,9,44,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 44, 'waypoint': 'forward', 'left': None}",,0.0
128,9,43,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 43, 'waypoint': 'forward', 'left': None}",,0.0
129,9,42,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 42, 'waypoint': 'forward', 'left': None}",,0.0
130,9,41,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 41, 'waypoint': 'forward', 'left': None}",,0.0
131,9,40,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 40, 'waypoint': 'forward', 'left': None}",forward,2.0
132,9,39,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 39, 'waypoint': 'forward', 'left': None}",forward,2.0
133,9,38,"{'right': 'left', 'light': 'green', 'oncoming': None, 'deadline': 38, 'waypoint': 'right', 'left': None}",right,2.0
134,9,37,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 37, 'waypoint': 'forward', 'left': None}",forward,2.0
135,9,36,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 36, 'waypoint': 'forward', 'left': None}",forward,2.0
136,9,35,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 35, 'waypoint': 'forward', 'left': None}",,0.0
137,9,34,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 34, 'waypoint': 'forward', 'left': None}",forward,2.0
138,9,33,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 33, 'waypoint': 'forward', 'left': None}",,0.0
139,9,32,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 32, 'waypoint': 'forward', 'left': None}",,0.0
